z_[m] , m_[kg/m] , x_cg_[m] , y_cg_[m] , ri_x_[m] , ri_y_[m] , x_sh_[m] , y_sh_[m] , E_[N/m^2] , G_[N/m^2] , I_x_[m^4] , I_y_[m^4] , I_p_[m^4] , k_x_[-] , k_y_[-] , A_[m^2]   , pitch_[deg] , x_e_[m] , y_e_[m]
36.2  , 232.36   , 0.28813  , 0        , 0.2731   , 0.7618   , 0.43     , 0        , 1.40E+10  , 1.00E+09  , 2.247E-02 , 1.306E-01 , 4.59E-02  , 1.40    , 1.40    , 5.434E-02 , 0.00        , 0.43    , 0.00
38.2  , 210.94   , 0.26129  , 0        , 0.2511   , 0.7425   , 0.41     , 0        , 1.40E+10  , 1.00E+09  , 1.705E-02 , 1.132E-01 , 3.60E-02  , 1.40    , 1.40    , 4.629E-02 , 0.00        , 0.41    , 0.00
40.2  , 188.94   , 0.22345  , 0        , 0.2296   , 0.7201   , 0.40     , 0        , 1.40E+10  , 1.00E+09  , 1.256E-02 , 9.453E-02 , 2.74E-02  , 1.40    , 1.40    , 3.855E-02 , 0.00        , 0.40    , 0.00
42.2  , 173.87   , 0.13341  , 0        , 0.2049   , 0.7543   , 0.38     , 0        , 1.40E+10  , 1.00E+09  , 9.001E-03 , 8.455E-02 , 2.09E-02  , 1.40    , 1.40    , 3.794E-02 , 0.00        , 0.38    , 0.00
44.2  , 162.62   , 0.10741  , 0        , 0.1956   , 0.7263   , 0.37     , 0        , 1.40E+10  , 1.00E+09  , 7.661E-03 , 7.287E-02 , 1.85E-02  , 1.40    , 1.40    , 3.286E-02 , 0.00        , 0.37    , 0.00
46.2  , 146.32   , 0.12709  , 0        , 0.1883   , 0.6915   , 0.35     , 0        , 1.40E+10  , 1.00E+09  , 6.491E-03 , 5.699E-02 , 1.63E-02  , 1.40    , 1.40    , 2.684E-02 , 0.00        , 0.35    , 0.00
48.2  , 136.44   , 0.10967  , 0        , 0.1788   , 0.6709   , 0.34     , 0        , 1.40E+10  , 1.00E+09  , 5.451E-03 , 5.069E-02 , 1.45E-02  , 1.40    , 1.40    , 2.349E-02 , 0.00        , 0.34    , 0.00
50.2  , 112.96   , 0.11662  , 0        , 0.1725   , 0.6342   , 0.32     , 0        , 1.40E+10  , 1.00E+09  , 4.361E-03 , 3.701E-02 , 9.07E-03  , 1.40    , 1.40    , 1.743E-02 , 0.00        , 0.32    , 0.00
52.2  , 104.03   , 0.09125  , 0        , 0.1626   , 0.6167   , 0.31     , 0        , 1.40E+10  , 1.00E+09  , 3.534E-03 , 3.249E-02 , 8.06E-03  , 1.40    , 1.40    , 1.511E-02 , 0.00        , 0.31    , 0.00
54.2  , 95.044   , 0.06522  , 0        , 0.1525   , 0.5989   , 0.29     , 0        , 1.40E+10  , 1.00E+09  , 2.811E-03 , 2.822E-02 , 7.08E-03  , 1.40    , 1.40    , 1.297E-02 , 0.00        , 0.29    , 0.00
55.2  , 87.412   , 0.05334  , 0        , 0.1486   , 0.5870   , 0.28     , 0        , 1.40E+10  , 1.00E+09  , 2.476E-03 , 2.527E-02 , 6.09E-03  , 1.40    , 1.40    , 1.145E-02 , 0.00        , 0.28    , 0.00
56.2  , 76.781   , 0.12736  , 0        , 0.1484   , 0.5123   , 0.28     , 0        , 1.40E+10  , 1.00E+09  , 2.172E-03 , 2.177E-02 , 5.75E-03  , 1.40    , 1.40    , 7.802E-03 , 0.00        , 0.28    , 0.00
57.2  , 72.427   , 0.11027  , 0        , 0.1434   , 0.5058   , 0.26     , 0        , 1.40E+10  , 1.00E+09  , 1.894E-03 , 2.010E-02 , 5.33E-03  , 1.40    , 1.40    , 7.149E-03 , 0.00        , 0.26    , 0.00
57.7  , 69.786   , 0.10164  , 0        , 0.1386   , 0.4952   , 0.26     , 0        , 1.40E+10  , 1.00E+09  , 1.703E-03 , 1.869E-02 , 4.94E-03  , 1.40    , 1.40    , 6.589E-03 , 0.00        , 0.26    , 0.00
58.2  , 62.494   , 0.14932  , 0        , 0.1327   , 0.4299   , 0.24     , 0        , 1.40E+10  , 1.00E+09  , 1.402E-03 , 1.134E-02 , 4.24E-03  , 1.40    , 1.40    , 4.516E-03 , 0.00        , 0.24    , 0.00
58.7  , 58.886   , 0.13954  , 0        , 0.1229   , 0.4073   , 0.23     , 0        , 1.40E+10  , 1.00E+09  , 1.143E-03 , 9.849E-03 , 3.66E-03  , 1.40    , 1.40    , 3.809E-03 , 0.00        , 0.23    , 0.00
59.2  , 55.273   , 0.12746  , 0        , 0.1133   , 0.3849   , 0.21     , 0        , 1.40E+10  , 1.00E+09  , 9.164E-04 , 8.485E-03 , 3.13E-03  , 1.40    , 1.40    , 3.181E-03 , 0.00        , 0.21    , 0.00
59.7  , 51.724   , 0.11420  , 0        , 0.1041   , 0.3631   , 0.19     , 0        , 1.40E+10  , 1.00E+09  , 7.200E-04 , 7.259E-03 , 2.64E-03  , 1.40    , 1.40    , 2.636E-03 , 0.00        , 0.19    , 0.00
60.2  , 48.253   , 0.10370  , 0        , 0.0933   , 0.3398   , 0.17     , 0        , 1.40E+10  , 1.00E+09  , 5.393E-04 , 6.076E-03 , 2.17E-03  , 1.40    , 1.40    , 2.137E-03 , 0.00        , 0.17    , 0.00
60.7  , 43.884   , 0.09967  , 0        , 0.0755   , 0.3023   , 0.15     , 0        , 1.40E+10  , 1.00E+09  , 3.286E-04 , 4.590E-03 , 1.58E-03  , 1.40    , 1.40    , 1.522E-03 , 0.00        , 0.15    , 0.00
61.2  , 12.062   , 0.07891  , 0        , 0.0576   , 0.2792   , 0.13     , 0        , 1.40E+10  , 1.00E+09  , 1.786E-05 , 4.721E-04 , 2.50E-04  , 1.40    , 1.40    , 3.464E-04 , 0.00        , 0.13    , 0.00
61.5  , 10.867   , 0.06833  , 0        , 0.0429   , 0.2501   , 0.12     , 0        , 1.40E+10  , 1.00E+09  , 1.214E-05 , 3.579E-04 , 1.90E-04  , 1.40    , 1.40    , 2.521E-04 , 0.00        , 0.12    , 0.00
